id,poke_num,name,type,hp,attack,defense,sp_atk,sp_def,speed
1,1,Bulbasaur,GRASS,45,49,49,65,65,45
2,2,Ivysaur,GRASS,60,62,63,80,80,60
3,3,Venusaur,GRASS,80,82,83,100,100,80
4,4,Charmander,FIRE,39,52,43,60,50,65
5,5,Charmeleon,FIRE,58,64,58,80,65,80
6,6,Charizard,FIRE,78,84,78,109,85,100
7,7,Squirtle,WATER,44,48,65,50,64,43
8,8,Wartortle,WATER,59,63,80,65,80,58
9,9,Blastoise,WATER,79,83,100,85,105,78
10,10,Caterpie,BUG,45,30,35,20,20,45
11,11,Metapod,BUG,50,20,55,25,25,30
12,12,Butterfree,BUG,60,45,50,80,80,70
13,13,Weedle,BUG,40,35,30,20,20,50
14,14,Kakuna,BUG,45,25,50,25,25,35
15,15,Beedrill,BUG,65,80,40,45,80,75
16,16,Pidgey,NORMAL,40,45,40,35,35,56
17,17,Pidgeotto,NORMAL,63,60,55,50,50,71
18,18,Pidgeot,NORMAL,83,80,75,70,70,91
19,19,Rattata,NORMAL,30,56,35,25,35,72
20,20,Raticate,NORMAL,55,81,60,50,70,97
21,21,Spearow,NORMAL,40,60,30,31,31,70
22,22,Fearow,NORMAL,65,90,65,61,61,100
23,23,Ekans,POISON,35,60,44,40,54,55
24,24,Arbok,POISON,60,85,69,65,79,80
25,25,Pikachu,ELECTRIC,35,55,30,50,40,90
26,26,Raichu,ELECTRIC,60,90,55,90,80,100
27,27,Sandshrew,GROUND,50,75,85,20,30,40
28,28,Sandslash,GROUND,75,100,110,45,55,65
29,29,Nidoran_F,POISON,55,47,52,40,40,41
30,30,Nidorina,POISON,70,62,67,55,55,56
31,31,Nidoqueen,POISON,90,82,87,75,85,76
32,32,Nidoran_M,POISON,46,57,40,40,40,50
33,33,Nidorino,POISON,61,72,57,55,55,65
34,34,Nidoking,POISON,81,92,77,85,75,85
35,35,Clefairy,FAIRY,70,45,48,60,65,35
36,36,Clefable,FAIRY,95,70,73,85,90,60
37,37,Vulpix,FIRE,38,41,40,50,65,65
38,38,Ninetales,FIRE,73,76,75,81,100,100
39,39,Jigglypuff,NORMAL,115,45,20,45,25,20
40,40,Wigglytuff,NORMAL,140,70,45,75,50,45
41,41,Zubat,POISON,40,45,35,30,40,55
42,42,Golbat,POISON,75,80,70,65,75,90
43,43,Oddish,GRASS,45,50,55,75,65,30
44,44,Gloom,GRASS,60,65,70,85,75,40
45,45,Vileplume,GRASS,75,80,85,100,90,50
46,46,Paras,BUG,35,70,55,45,55,25
47,47,Parasect,BUG,60,95,80,60,80,30
48,48,Venonat,BUG,60,55,50,40,55,45
49,49,Venomoth,BUG,70,65,60,90,75,90
50,50,Diglett,GROUND,10,55,25,35,45,95
51,51,Dugtrio,GROUND,35,80,50,50,70,120
52,52,Meowth,NORMAL,40,45,35,40,40,90
53,53,Persian,NORMAL,65,70,60,65,65,115
54,54,Psyduck,WATER,50,52,48,65,50,55
55,55,Golduck,WATER,80,82,78,95,80,85
56,56,Mankey,FIGHTING,40,80,35,35,45,70
57,57,Primeape,FIGHTING,65,105,60,60,70,95
58,58,Growlithe,FIRE,55,70,45,70,50,60
59,59,Arcanine,FIRE,90,110,80,100,80,95
60,60,Poliwag,WATER,40,50,40,40,40,90
61,61,Poliwhirl,WATER,65,65,65,50,50,90
62,62,Poliwrath,WATER,90,85,95,70,90,70
63,63,Abra,PSYCHIC,25,20,15,105,55,90
64,64,Kadabra,PSYCHIC,40,35,30,120,70,105
65,65,Alakazam,PSYCHIC,55,50,45,135,85,120
66,66,Machop,FIGHTING,70,80,50,35,35,35
67,67,Machoke,FIGHTING,80,100,70,50,60,45
68,68,Machamp,FIGHTING,90,130,80,65,85,55
69,69,Bellsprout,GRASS,50,75,35,70,30,40
70,70,Weepinbell,GRASS,65,90,50,85,45,55
71,71,Victreebel,GRASS,80,105,65,100,60,70
72,72,Tentacool,WATER,40,40,35,50,100,70
73,73,Tentacruel,WATER,80,70,65,80,120,100
74,74,Geodude,ROCK,40,80,100,30,30,20
75,75,Graveler,ROCK,55,95,115,45,45,35
76,76,Golem,ROCK,80,110,130,55,65,45
77,77,Ponyta,FIRE,50,85,55,65,65,90
78,78,Rapidash,FIRE,65,100,70,80,80,105
79,79,Slowpoke,WATER,90,65,65,40,40,15
80,80,Slowbro,WATER,95,75,110,100,80,30
81,81,Magnemite,ELECTRIC,25,35,70,95,55,45
82,82,Magneton,ELECTRIC,50,60,95,120,70,70
83,83,Farfetchd,NORMAL,52,65,55,58,62,60
84,84,Doduo,NORMAL,35,85,45,35,35,75
85,85,Dodrio,NORMAL,60,110,70,60,60,100
86,86,Seel,WATER,65,45,55,45,70,45
87,87,Dewgong,WATER,90,70,80,70,95,70
88,88,Grimer,POISON,80,80,50,40,50,25
89,89,Muk,POISON,105,105,75,65,100,50
90,90,Shellder,WATER,30,65,100,45,25,40
91,91,Cloyster,WATER,50,95,180,85,45,70
92,92,Gastly,GHOST,30,35,30,100,35,80
93,93,Haunter,GHOST,45,50,45,115,55,95
94,94,Gengar,GHOST,60,65,60,130,75,110
95,95,Onix,ROCK,35,45,160,30,45,70
96,96,Drowzee,PSYCHIC,60,48,45,43,90,42
97,97,Hypno,PSYCHIC,85,73,70,73,115,67
98,98,Krabby,WATER,30,105,90,25,25,50
99,99,Kingler,WATER,55,130,115,50,50,75
100,100,Voltorb,ELECTRIC,40,30,50,55,55,100
101,101,Electrode,ELECTRIC,60,50,70,80,80,140
102,102,Exeggcute,GRASS,60,40,80,60,45,40
103,103,Exeggutor,GRASS,95,95,85,125,65,55
104,104,Cubone,GROUND,50,50,95,40,50,35
105,105,Marowak,GROUND,60,80,110,50,80,45
106,106,Hitmonlee,FIGHTING,50,120,53,35,110,87
107,107,Hitmonchan,FIGHTING,50,105,79,35,110,76
108,108,Lickitung,NORMAL,90,55,75,60,75,30
109,109,Koffing,POISON,40,65,95,60,45,35
110,110,Weezing,POISON,65,90,120,85,70,60
